surface_name	site_name	species_name	formation_energy	bulk_structure	frequencies	other_parameters	reference
CeO2-331	111	C3H6O	0.501	None	[]	[]	Input File Tutorial.
CeO2-331	111	CH3CHOCH-H	1.4075 	None	[]	[]	Input File Tutorial.
CeO2-331	111	H	-1.145	None	[]	[]	Input File Tutorial.
CeO2-331	111	H2	0.721	None	[]	[]	Input File Tutorial.
CeO2-331	111	H2O	-0.149	None	[]	[]	Input File Tutorial.
CeO2-331	111	O	0.965	None	[]	[]	Input File Tutorial.
CeO2-331	111	O-H2	0.6304 	None	[]	[]	Input File Tutorial.
CeO2-331	111	OH	-0.204	None	[]	[]	Input File Tutorial.
CeO2-331	111	OH-H	3.1717 	None	[]	[]	Input File Tutorial.
CeO2-111	111	C3H5O	-4.27	None	[]	[]	Input File Tutorial.
CeO2-111	111	C3H5O-H	0.1617 	None	[]	[]	Input File Tutorial.
CeO2-111	111	C3H6	-6.496	None	[]	[]	Input File Tutorial.
CeO2-111	111	C3H6O	0.412	None	[]	[]	Input File Tutorial.
CeO2-111	111	CH3CHOCH-H	1.6890 	None	[]	[]	Input File Tutorial.
CeO2-111	111	H	-1.096	None	[]	[]	Input File Tutorial.
CeO2-111	111	H2	1.137	None	[]	[]	Input File Tutorial.
CeO2-111	111	H2O	0.299	None	[]	[]	Input File Tutorial.
CeO2-111	111	O	0.667	None	[]	[]	Input File Tutorial.
CeO2-111	111	O-H2	1.3608 	None	[]	[]	Input File Tutorial.
CeO2-111	111	OH	-1.365	None	[]	[]	Input File Tutorial.
CeO2-111	111	OH-H	3.3421	None	[]	[]	Input File Tutorial.
