surface_name	site_name	species_name	formation_energy	bulk_structure	frequencies	other_parameters	reference
ticr	111	OH	-4.83	None	[]	[]	Input File Tutorial.
ticr	111	OOH	-4.61	None	[]	[]	Input File Tutorial.
ticr	111	OOH-C6H12	-30.679	None	[]	[]	Input File Tutorial.
ti	111	C6H12	-26.13	None	[]	[]	Input File Tutorial.
ti	111	C6H12O	-27.959	None	[]	[]	Input File Tutorial.
ti	111	H2O	-7.426	None	[]	[]	Input File Tutorial.
ti	111	H2O2	-7.02	None	[]	[]	Input File Tutorial.
ti	111	Ha	0.431	None	[]	[]	Input File Tutorial.
ti	111	Hb	-4.475	None	[]	[]	Input File Tutorial.
ti	111	Hb-O	-2.629	None	[]	[]	Input File Tutorial.
ti	111	O	1.922	None	[]	[]	Input File Tutorial.
ti	111	OH	-2.54	None	[]	[]	Input File Tutorial.
ti	111	OOH	-3.537	None	[]	[]	Input File Tutorial.
ti	111	OOH-C6H12	-30.877	None	[]	[]	Input File Tutorial.
tini	111	C6H12	-26.13	None	[]	[]	Input File Tutorial.
tini	111	C6H12O	-27.959	None	[]	[]	Input File Tutorial.
tini	111	H2O	-7.426	None	[]	[]	Input File Tutorial.
tini	111	H2O2	-7.02	None	[]	[]	Input File Tutorial.
tini	111	Ha	0.431	None	[]	[]	Input File Tutorial.
tini	111	Hb	-4.475	None	[]	[]	Input File Tutorial.
tini	111	Hb-O	-2.629	None	[]	[]	Input File Tutorial.
tini	111	O	1.922	None	[]	[]	Input File Tutorial.
tini	111	OH	-2.54	None	[]	[]	Input File Tutorial.
tini	111	OOH	-3.537	None	[]	[]	Input File Tutorial.
tini	111	OOH-C6H12	-30.877	None	[]	[]	Input File Tutorial.
