descriptor-H_s	descriptor-O_s	C3H6O_g	C3H6_g	H2O_g	H2_g
0.09090909090909083	-0.9090909090909092	0.0	1.4187762109271403e-28	1.4187762109271605e-28	0.0
0.09090909090909083	-1.3636363636363638	0.0	6.368964423551473e-30	6.368964423551238e-30	0.0
0.09090909090909083	-1.8181818181818183	0.0	1.84300654120836e-29	1.843006541208329e-29	0.0
0.09090909090909083	-2.272727272727273	0.0	9.675045980770846e-30	9.675045980770607e-30	0.0
0.09090909090909083	-2.7272727272727275	4.8668730001010825e-27	7.087107761303347e-27	9.868444960496768e-27	2.3049123733593323e-27
0.09090909090909083	-3.1818181818181817	1.7147093231887136e-27	0.0	0.0	2.346699974111851e-26
0.09090909090909083	-3.6363636363636367	0.0	0.0	0.0	3.829307606046475e-26
0.09090909090909083	-4.090909090909091	9.52581779941515e-27	0.0	0.0	1.2503306563708457e-26
0.09090909090909083	-4.545454545454546	2.407896612682178e-26	2.815767373072991e-26	2.81523946502646e-26	4.9654074943362036e-27
0.09090909090909083	-5.0	9.737304877159047e-27	1.1378979539498204e-26	1.1377912882921315e-26	2.0035541609347257e-27
-0.36363636363636376	0.0	5.463434425987562e-26	6.637854967715996e-36	0.0	0.0
-0.36363636363636376	-0.45454545454545503	1.7386901476757155e-26	1.0649791352749845e-34	9.091794765784101e-28	0.0
-0.36363636363636376	-0.9090909090909092	0.0	4.39332926315389e-29	4.3933292631539486e-29	0.0
-0.36363636363636376	-1.3636363636363638	0.0	4.2653814424059274e-30	4.265381442405934e-30	0.0
-0.36363636363636376	-1.8181818181818183	0.0	5.618515866589138e-32	5.618515866589138e-32	0.0
-0.36363636363636376	-2.272727272727273	0.0	9.57453139709979e-32	9.574531397099775e-32	0.0
-0.36363636363636376	-2.7272727272727275	0.0	2.2439349421840617e-32	2.2439349421840576e-32	0.0
-0.36363636363636376	-3.1818181818181817	8.305834397045908e-27	3.363142573924134e-27	3.363142573924074e-27	7.032681936361073e-27
-0.36363636363636376	-3.6363636363636367	9.020717434669587e-27	1.062576932028039e-26	1.0626766775260664e-26	1.9227516390734483e-27
-0.36363636363636376	-4.090909090909091	1.488810963124828e-26	1.7395941573591333e-26	1.739920307643784e-26	3.0600307702841673e-27
-0.36363636363636376	-4.545454545454546	2.4005828243664565e-26	2.8132017725461664e-26	2.813025868674785e-26	5.0065271421457645e-27
-0.36363636363636376	-5.0	9.477914510671384e-27	1.1301767237729221e-26	1.1302121786493113e-26	2.143545149814298e-27
-0.8181818181818183	0.0	0.0	8.727835113453125e-18	8.727835113453125e-18	0.0
-0.8181818181818183	-0.45454545454545503	6.591816755262554e-26	1.7588246097585713e-35	0.0	0.0
-0.8181818181818183	-0.9090909090909092	5.98631113531115e-26	1.4656315271854615e-34	7.28826044621306e-27	2.0903583876958684e-33
-0.8181818181818183	-1.3636363636363638	0.0	6.120423440405358e-30	6.1204234404053614e-30	0.0
-0.8181818181818183	-1.8181818181818183	0.0	1.2566937036738756e-31	1.2566937036738758e-31	0.0
-0.8181818181818183	-2.272727272727273	0.0	7.145941486763596e-34	5.745620477204515e-29	1.065067921608459e-27
-0.8181818181818183	-2.7272727272727275	0.0	1.1496592289641244e-34	0.0	1.7377930220142947e-28
-0.8181818181818183	-3.1818181818181817	0.0	5.7642979611527314e-36	0.0	1.806806877625603e-29
-0.8181818181818183	-3.6363636363636367	0.0	1.3825962196388195e-38	0.0	5.885152267712746e-31
-0.8181818181818183	-4.090909090909091	1.3700929522174048e-26	1.7089352592462144e-26	1.7094755848570515e-26	3.71554807426025e-27
-0.8181818181818183	-4.545454545454546	1.954310042037147e-26	2.683024096080424e-26	2.6831966164425214e-26	7.406815993507901e-27
-0.8181818181818183	-5.0	0.0	2.377705974228695e-26	2.378277427740417e-26	4.794850180978762e-26
-1.272727272727273	0.0	0.0	7.98049501432455e-23	7.98049501432455e-23	0.0
-1.272727272727273	-0.45454545454545503	0.0	4.182593309515222e-21	4.182593309515222e-21	0.0
-1.272727272727273	-0.9090909090909092	2.7315407738797306e-26	2.753189836640387e-34	2.2728198524242225e-28	0.0
-1.272727272727273	-1.3636363636363638	0.0	1.0314515533021937e-29	1.031451553302194e-29	0.0
-1.272727272727273	-1.8181818181818183	0.0	3.659839320636748e-31	3.6598393206367484e-31	0.0
-1.272727272727273	-2.272727272727273	0.0	2.782029659161104e-33	6.957203222204669e-29	6.961522122470821e-28
-1.272727272727273	-2.7272727272727275	0.0	3.8217392838235236e-36	8.613994647396161e-32	9.629481281834396e-31
-1.272727272727273	-3.1818181818181817	0.0	1.7813360020843682e-38	0.0	1.3893297268476729e-32
-1.272727272727273	-3.6363636363636367	0.0	6.581936967180486e-40	0.0	1.2574880678152373e-33
-1.272727272727273	-4.090909090909091	0.0	7.416132820734052e-42	0.0	6.960475346945624e-35
-1.272727272727273	-4.545454545454546	0.0	0.0	0.0	2.2796102653149194e-27
-1.272727272727273	-5.0	0.0	0.0	0.0	0.0
-1.7272727272727275	0.0	0.0	3.2281823807073975e-29	3.2281823807073986e-29	0.0
-1.7272727272727275	-0.45454545454545503	0.0	3.141017796677167e-26	3.141017796677167e-26	0.0
-1.7272727272727275	-0.9090909090909092	0.0	2.1131222871915034e-24	2.1131222871915034e-24	0.0
-1.7272727272727275	-1.3636363636363638	0.0	8.849252124892058e-25	8.849252124892058e-25	0.0
-1.7272727272727275	-1.8181818181818183	4.287531597173153e-26	8.913162603769299e-32	0.0	0.0
-1.7272727272727275	-2.272727272727273	0.0	1.6412822189356418e-32	7.886247016095598e-29	7.88444681510708e-28
-1.7272727272727275	-2.7272727272727275	0.0	1.6961077237062708e-35	8.839790893450915e-32	8.838943667820323e-31
-1.7272727272727275	-3.1818181818181817	0.0	2.4023906140143875e-38	1.151602330474821e-34	1.1742168742991919e-33
-1.7272727272727275	-3.6363636363636367	0.0	1.0604558351238469e-26	1.060579156689714e-26	0.0
