descriptor-H_s	descriptor-CH3CH2CH_s	C3H6_g	C3H8_g	C6H14_g
2.9090909090909083	-2.6363636363636367	2.4601216980077606e-30	2.4601216980079242e-30	0.0
2.9090909090909083	-2.272727272727273	7.15412410686476e-27	7.154124106864763e-27	0.0
2.9090909090909083	-1.9090909090909092	2.080428317927824e-23	2.080428317927824e-23	0.0
2.9090909090909083	-1.5454545454545454	6.049235606782338e-20	6.049235606782338e-20	0.0
2.9090909090909083	-1.1818181818181817	1.7561760224934198e-16	1.7561760224934198e-16	0.0
2.9090909090909083	-0.8181818181818183	4.977421049075724e-13	4.977421049075724e-13	0.0
2.9090909090909083	-0.4545454545454546	9.167086923063378e-10	9.167086923063378e-10	0.0
2.9090909090909083	-0.09090909090909083	1.4412387677850383e-11	1.4412387677850383e-11	0.0
2.9090909090909083	0.2727272727272727	1.6919973300743766e-09	1.6919973300743766e-09	0.0
2.9090909090909083	0.6363636363636364	1.601349371200156e-10	1.601349371200156e-10	0.0
2.9090909090909083	1.0	1.4937162708516018e-11	1.4937162708516018e-11	0.0
2.3636363636363633	-3.0	3.6077492316942502e-34	3.6077492322274574e-34	0.0
2.3636363636363633	-2.6363636363636367	1.049147521546517e-30	1.0491475215471944e-30	0.0
2.3636363636363633	-2.272727272727273	3.050961449631458e-27	3.0509614496314667e-27	0.0
2.3636363636363633	-1.9090909090909092	8.872311657863304e-24	8.872311657863304e-24	0.0
2.3636363636363633	-1.5454545454545454	2.580091471959202e-20	2.580091471959202e-20	0.0
2.3636363636363633	-1.1818181818181817	7.502020962538114e-17	7.502020962538114e-17	0.0
2.3636363636363633	-0.8181818181818183	2.1704427779642757e-13	2.1704427779642757e-13	0.0
2.3636363636363633	-0.4545454545454546	5.078511828561809e-10	5.078511828561809e-10	0.0
2.3636363636363633	-0.09090909090909083	2.533215551348181e-10	2.533215551348181e-10	0.0
2.3636363636363633	0.2727272727272727	7.623687128764865e-08	7.623687128764865e-08	0.0
2.3636363636363633	0.6363636363636364	9.539953855861248e-08	9.539953855861248e-08	0.0
2.3636363636363633	1.0	8.904185609875253e-08	8.904185609875253e-08	0.0
1.818181818181818	-3.0	1.5385665547329783e-34	1.5385665569407303e-34	0.0
1.818181818181818	-2.6363636363636367	4.474211434275042e-31	4.474211434303089e-31	0.0
1.818181818181818	-2.272727272727273	1.301117934148538e-27	1.3011179341485735e-27	0.0
1.818181818181818	-1.9090909090909092	3.783700265633116e-24	3.783700265633116e-24	0.0
1.818181818181818	-1.5454545454545454	1.100309882378863e-20	1.100309882378863e-20	0.0
1.818181818181818	-1.1818181818181817	3.1993231734315015e-17	3.1993231734315015e-17	0.0
1.818181818181818	-0.8181818181818183	9.256048002228941e-14	9.256048002228941e-14	0.0
1.818181818181818	-0.4545454545454546	2.090832301182492e-10	2.090832301182492e-10	0.0
1.818181818181818	-0.09090909090909083	1.696294270959918e-10	1.696294270959918e-10	0.0
1.818181818181818	0.2727272727272727	2.891817828528494e-08	2.891817828528494e-08	0.0
1.818181818181818	0.6363636363636364	4.1344837090429636e-08	4.1344837090429636e-08	0.0
1.818181818181818	1.0	5.217973786172465e-08	5.217973786172465e-08	0.0
1.2727272727272725	-3.0	6.561395728884617e-35	6.561395754404613e-35	0.0
1.2727272727272725	-2.6363636363636367	1.9080794091665327e-31	1.9080794092826612e-31	0.0
1.2727272727272725	-2.272727272727273	5.548768340300112e-28	5.548768340301587e-28	0.0
1.2727272727272725	-1.9090909090909092	1.6136027052408734e-24	1.6136027052408753e-24	0.0
1.2727272727272725	-1.5454545454545454	4.6923915754448e-21	4.6923915754448e-21	0.0
1.2727272727272725	-1.1818181818181817	1.3642372160925158e-17	1.3642372160925158e-17	0.0
1.2727272727272725	-0.8181818181818183	3.946299504954372e-14	3.946299504954372e-14	0.0
1.2727272727272725	-0.4545454545454546	8.124617564163666e-11	8.124617564163666e-11	0.0
1.2727272727272725	-0.09090909090909083	1.9431036009603222e-11	1.9431036009603222e-11	0.0
1.2727272727272725	0.2727272727272727	5.895849545005823e-09	5.895849545005823e-09	0.0
1.2727272727272725	0.6363636363636364	1.615208796644976e-08	1.615208796644976e-08	0.0
1.2727272727272725	1.0	2.2067235203489598e-08	2.2067235203489598e-08	0.0
0.7272727272727271	-3.0	2.7981833678927443e-35	2.79818339341274e-35	0.0
0.7272727272727271	-2.6363636363636367	8.137225775852134e-32	8.137225777086386e-32	0.0
0.7272727272727271	-2.272727272727273	2.366336368964522e-28	2.366336368970491e-28	0.0
0.7272727272727271	-1.9090909090909092	6.881374678264427e-25	6.881374678264505e-25	0.0
0.7272727272727271	-1.5454545454545454	1.9992696003508473e-21	1.9992696003508473e-21	0.0
0.7272727272727271	-1.1818181818181817	4.972631069733801e-18	4.972631069733801e-18	0.0
0.7272727272727271	-0.8181818181818183	1.0502423416434597e-14	1.0502423416434597e-14	0.0
0.7272727272727271	-0.4545454545454546	3.9606877797484025e-12	3.9606877797484025e-12	0.0
0.7272727272727271	-0.09090909090909083	2.1571853687958095e-12	2.1571853687958095e-12	0.0
0.7272727272727271	0.2727272727272727	2.2116171625819259e-10	2.2116171625819259e-10	0.0
0.7272727272727271	0.6363636363636364	3.880726830905776e-09	3.880726830905776e-09	0.0
0.7272727272727271	1.0	8.829233724850674e-09	8.829233724850674e-09	0.0
0.18181818181818166	-3.0	1.1933177553173247e-35	1.19331778083732e-35	0.0
0.18181818181818166	-2.6363636363636367	3.4702066641311774e-32	3.470206665365429e-32	0.0
0.18181818181818166	-2.272727272727273	1.0090118744291356e-28	1.0090118744351046e-28	0.0
0.18181818181818166	-1.9090909090909092	2.9146975402416784e-25	2.9146975402419663e-25	0.0
0.18181818181818166	-1.5454545454545454	3.1082820724629417e-22	3.108282072462944e-22	0.0
0.18181818181818166	-1.1818181818181817	4.872479404598046e-22	4.872479404598047e-22	0.0
0.18181818181818166	-0.8181818181818183	9.083702951142335e-19	9.083702951142335e-19	0.0
0.18181818181818166	-0.4545454545454546	4.687077021108138e-16	4.687077021108138e-16	0.0
0.18181818181818166	-0.09090909090909083	5.811455900899171e-14	5.811455900899171e-14	0.0
0.18181818181818166	0.2727272727272727	2.3041796303154264e-12	2.3041796303154264e-12	0.0
0.18181818181818166	0.6363636363636364	1.9239008318049776e-10	1.9239008318049776e-10	0.0
0.18181818181818166	1.0	2.432804543426637e-09	2.432804543426637e-09	0.0
-0.36363636363636376	-3.0	5.0886140066245334e-36	5.0886142618137514e-36	0.0
-0.36363636363636376	-2.6363636363636367	1.4738332614879458e-32	1.4738332627196606e-32	0.0
-0.36363636363636376	-2.272727272727273	3.5598295369941166e-29	3.5598295370484074e-29	0.0
-0.36363636363636376	-1.9090909090909092	2.800658235798206e-29	2.800658235841394e-29	0.0
-0.36363636363636376	-1.5454545454545454	3.0789400963042047e-27	3.0789400963082663e-27	0.0
-0.36363636363636376	-1.1818181818181817	8.340317070107727e-23	8.340317070107746e-23	0.0
-0.36363636363636376	-0.8181818181818183	8.575627112565512e-17	8.575627112565512e-17	0.0
-0.36363636363636376	-0.4545454545454546	3.204893638133339e-17	3.204893638133339e-17	0.0
-0.36363636363636376	-0.09090909090909083	1.6947421008409065e-16	1.6947421008409065e-16	0.0
-0.36363636363636376	0.2727272727272727	1.6473920123666827e-14	1.6473920123666827e-14	0.0
-0.36363636363636376	0.6363636363636364	1.9977209144408854e-12	1.9977209144408854e-12	0.0
-0.36363636363636376	1.0	8.598360285741396e-11	8.598360285741396e-11	0.0
-0.9090909090909092	-3.0	1.9316064918930332e-36	1.9316067326516992e-36	0.0
-0.9090909090909092	-2.6363636363636367	3.194088722469295e-36	3.1940890001333065e-36	0.0
